N, Time
4, 0.007417
8, 0.007767
12, 0.007481
16, 0.008701
20, 0.010476
24, 0.012846
28, 0.014598
32, 0.008112
36, 0.009591
40, 0.011144
44, 0.013157
48, 0.015125
52, 0.016921
56, 0.019587
60, 0.022174
64, 0.025201
68, 0.027796
72, 0.030721
76, 0.033914
80, 0.037466
84, 0.040959
88, 0.044916
92, 0.048115
96, 0.052738
100, 0.057240
104, 0.061183
108, 0.066388
112, 0.070140
116, 0.075720
120, 0.080634
124, 0.086147
128, 0.087376
132, 0.096617
136, 0.101893
140, 0.108439
144, 0.114717
148, 0.120648
152, 0.125526
156, 0.132459
160, 0.140844
164, 0.147071
168, 0.152767
172, 0.162117
176, 0.166452
180, 0.174059
184, 0.183258
188, 0.191951
192, 0.197399
196, 0.208542
200, 0.214798
204, 0.223395
208, 0.233257
212, 0.246977
216, 0.250551
220, 0.259986
224, 0.268677
228, 0.279066
232, 0.286832
236, 0.298988
240, 0.307946
244, 0.318167
248, 0.328235
252, 0.341020
256, 0.347014
260, 0.361792
264, 0.372437
268, 0.384440
272, 0.393558
276, 0.410628
280, 0.415546
284, 0.441758
288, 0.437382
292, 0.453870
296, 0.465096
300, 0.478377
304, 0.492780
308, 0.503952
312, 0.516608
316, 0.531131
320, 0.541579
324, 0.537029
328, 0.569762
332, 0.563131
336, 0.597107
340, 0.591438
344, 0.627796
348, 0.641051
352, 0.680107
356, 0.665774
360, 0.683114
364, 0.697114
368, 0.711778
372, 0.732253
376, 0.745458
380, 0.763929
384, 0.756092
388, 0.791849
392, 0.813356
396, 0.819329
400, 0.844157
404, 0.871781
408, 0.880713
412, 0.913924
416, 0.891769
420, 0.910558
424, 0.957281
428, 0.968787
432, 0.959451
436, 1.001169
440, 1.015481
444, 1.023542
448, 1.114569
452, 1.083680
456, 1.097491
460, 1.123588
464, 1.180487
468, 1.169511
472, 1.178241
476, 1.202284
480, 1.212152
484, 1.269182
488, 1.264202
492, 1.286117
496, 1.281080
500, 1.352514
504, 1.336151
508, 1.362149
512, 1.426293
516, 1.435404
520, 1.425164
524, 1.504833
528, 1.481767
532, 1.494627
536, 1.507064
540, 1.592332
544, 1.552573
548, 1.590160
552, 1.594004
556, 1.637695
560, 1.637299
564, 1.709408
568, 1.699390
572, 1.707871
576, 1.733572
580, 1.798000
584, 1.770764
588, 1.869779
592, 1.831177
596, 1.876829
600, 1.884273
604, 1.899805
608, 1.922103
612, 1.957808
616, 1.966059
620, 2.125991
624, 2.008526
628, 2.054156
632, 2.079013
636, 2.131762
640, 2.062089
644, 2.164652
648, 2.211641
652, 2.266899
656, 2.227519
660, 2.237509
664, 2.280963
668, 2.422251
672, 2.294803
676, 2.465161
680, 2.393872
684, 2.454457
688, 2.457197
692, 2.512814
696, 2.545418
700, 2.544123
704, 2.522857
708, 2.586241
712, 2.631576
716, 2.651142
720, 2.695872
724, 2.704334
728, 2.795693
732, 2.797841
736, 2.716981
740, 2.853447
744, 2.827941
748, 2.926087
752, 2.902702
756, 2.975448
760, 2.974313
764, 3.024810
768, 3.053451
772, 3.080509
776, 3.077548
780, 3.177390
784, 3.204730
788, 3.207757
792, 3.272079
796, 3.439491
800, 3.258159
804, 3.369794
808, 3.345843
812, 3.443833
816, 3.498667
820, 3.616146
824, 3.505469
828, 3.715732
832, 3.502143
836, 3.683509
840, 3.611088
844, 3.764554
848, 3.691642
852, 3.772461
856, 3.768630
860, 4.009308
864, 3.773239
868, 3.932332
872, 3.947161
876, 4.043465
880, 4.063651
884, 4.054075
888, 4.086869
892, 4.112174
896, 4.171204
900, 4.184874
904, 4.172259
908, 4.356482
912, 4.284067
916, 4.337267
920, 4.301897
924, 4.374433
928, 4.410600
932, 4.520709
936, 4.549184
940, 4.632164
944, 4.438832
948, 4.666792
952, 4.693527
956, 4.779592
960, 4.602681
964, 4.869048
968, 4.794100
972, 5.025824
976, 4.931749
980, 4.976359
984, 5.005982
988, 5.134390
992, 5.060848
996, 5.147463
