N, Time
4, 0.000516
8, 0.001884
12, 0.003098
16, 0.005362
20, 0.008408
24, 0.013375
28, 0.016487
32, 0.021896
36, 0.013796
40, 0.015566
44, 0.018431
48, 0.021749
52, 0.025288
56, 0.030560
60, 0.034382
64, 0.037628
68, 0.042433
72, 0.047397
76, 0.052864
80, 0.058371
84, 0.066396
88, 0.071768
4, 0.000343
8, 0.001257
12, 0.002817
16, 0.004824
20, 0.007467
24, 0.010426
28, 0.010778
32, 0.014626
36, 0.018272
40, 0.023530
44, 0.025276
48, 0.021992
52, 0.024959
56, 0.029578
60, 0.033819
64, 0.038389
68, 0.042329
72, 0.047408
76, 0.052738
80, 0.059366
84, 0.064247
88, 0.070413
92, 0.079107
96, 0.085686
100, 0.090698
104, 0.103893
108, 0.115826
112, 0.123552
116, 0.130829
120, 0.137467
124, 0.146584
128, 0.165821
132, 0.161032
136, 0.173827
140, 0.197606
144, 0.188906
148, 0.202256
152, 0.208667
156, 0.220723
160, 0.231757
164, 0.242873
168, 0.254201
172, 0.269191
176, 0.279415
180, 0.291424
184, 0.307470
188, 0.318240
192, 0.335428
196, 0.346342
200, 0.360483
204, 0.377798
208, 0.389345
212, 0.403875
216, 0.425805
220, 0.448510
224, 0.453159
228, 0.469159
232, 0.483421
236, 0.499874
240, 0.526310
244, 0.534496
248, 0.553876
252, 0.575765
256, 0.592798
260, 0.608543
264, 0.625737
268, 0.648008
272, 0.664258
276, 0.692396
280, 0.703422
284, 0.730762
288, 0.743425
292, 0.764861
296, 0.838845
300, 0.813802
304, 0.830490
308, 0.850334
312, 0.876079
316, 0.895863
320, 0.916912
324, 0.948860
328, 0.964491
332, 0.996505
336, 1.011354
340, 1.042571
344, 1.066810
348, 1.089842
352, 1.118331
356, 1.204176
360, 1.200108
364, 1.194758
368, 1.291949
372, 1.241726
376, 1.396511
380, 1.321426
384, 1.337876
388, 1.401135
392, 1.410571
396, 1.403535
400, 1.434539
404, 1.562940
408, 1.508625
412, 1.522032
416, 1.585270
420, 1.676948
424, 1.662952
428, 1.691102
432, 1.682379
436, 1.706964
440, 1.759792
444, 1.764128
448, 1.796698
452, 1.860696
456, 1.869729
460, 1.910121
464, 1.939934
468, 2.044034
472, 2.048412
476, 2.026363
480, 2.076465
484, 2.279067
488, 2.255299
492, 2.188321
496, 2.396917
500, 2.510674
504, 2.273523
508, 2.453262
512, 2.601389
516, 2.487104
520, 2.511562
524, 2.751452
528, 2.607119
532, 2.977322
536, 2.755238
540, 2.809368
544, 2.916013
548, 2.685385
552, 2.767561
556, 2.996153
560, 2.997433
564, 3.210138
568, 2.963932
572, 3.148776
576, 2.966235
580, 3.047413
584, 3.304980
588, 3.196386
592, 3.249883
596, 3.536518
600, 3.225290
604, 3.274923
608, 3.898038
612, 3.604766
616, 3.632881
620, 3.810677
624, 3.866368
628, 3.554692
632, 4.033220
636, 3.743270
640, 4.365559
644, 3.938582
648, 3.882403
652, 4.397470
656, 4.191627
660, 4.435390
664, 4.179536
668, 4.300387
672, 4.389988
676, 4.579432
680, 4.273540
684, 4.561366
688, 4.528382
692, 4.573252
696, 4.785254
700, 4.751857
704, 4.916540
708, 4.542698
712, 4.540978
716, 4.884958
720, 4.652584
724, 5.142285
728, 5.089730
732, 5.074876
736, 4.884928
740, 4.941186
744, 4.958528
748, 5.002725
752, 5.101496
756, 5.167446
760, 6.273170
764, 5.679157
768, 5.273935
772, 5.343449
776, 5.680115
780, 5.910832
784, 5.884392
788, 5.995097
792, 5.609050
796, 5.904519
800, 6.687679
804, 5.879032
808, 5.842195
812, 5.936788
816, 5.962663
820, 6.012758
824, 7.204741
828, 6.130832
832, 6.203356
836, 6.245663
840, 6.329098
844, 6.547309
848, 7.180313
852, 6.497445
856, 6.551472
860, 6.906333
864, 6.779516
868, 6.768013
872, 6.870321
876, 8.284137
880, 6.931047
884, 7.186810
888, 7.066845
892, 7.189563
896, 7.615852
900, 7.581053
904, 7.659303
908, 7.479173
912, 7.456075
916, 7.544248
920, 7.595519
924, 8.008801
928, 7.910677
932, 7.934322
936, 7.969495
940, 7.971237
944, 8.004874
948, 8.048465
952, 8.315337
956, 8.249124
960, 8.952666
964, 8.557801
968, 8.788879
972, 8.849646
976, 8.613905
980, 8.983033
984, 8.830935
988, 8.977297
992, 8.956862
996, 8.871252
