N, Time
4, 0.007526
8, 0.006812
12, 0.007567
16, 0.009550
20, 0.012188
24, 0.015245
28, 0.013553
32, 0.012231
36, 0.014638
40, 0.017485
44, 0.020628
48, 0.023737
52, 0.027489
56, 0.031333
60, 0.035543
64, 0.039998
68, 0.044796
72, 0.049786
76, 0.055215
80, 0.060778
84, 0.075754
88, 0.072882
92, 0.079288
96, 0.086191
100, 0.093280
104, 0.101143
108, 0.108116
112, 0.116085
116, 0.124312
120, 0.132704
124, 0.141454
128, 0.150579
132, 0.159789
136, 0.169402
140, 0.179464
144, 0.189422
148, 0.200063
152, 0.210688
156, 0.222365
160, 0.232971
164, 0.244591
168, 0.256487
172, 0.268751
176, 0.281226
180, 0.293852
184, 0.307330
188, 0.320190
192, 0.334619
196, 0.347800
200, 0.362346
204, 0.376329
208, 0.391137
212, 0.406148
216, 0.421733
220, 0.437026
224, 0.452893
228, 0.469269
232, 0.485585
236, 0.502427
240, 0.525137
244, 0.536968
248, 0.555269
252, 0.571914
256, 0.590025
260, 0.608670
264, 0.627797
268, 0.680184
272, 0.665655
276, 0.685330
280, 0.729458
284, 0.725208
288, 0.745540
292, 0.767103
296, 0.833127
300, 0.811426
304, 0.830356
308, 0.857363
312, 0.874748
316, 0.898739
320, 0.919776
324, 0.942877
328, 0.987460
332, 0.991723
336, 1.013229
340, 1.079849
344, 1.062385
348, 1.089153
352, 1.111708
356, 1.139247
360, 1.198678
364, 1.213890
368, 1.215102
372, 1.404222
376, 1.267811
380, 1.294120
384, 1.347261
388, 1.352584
392, 1.379936
396, 1.405566
400, 1.434339
404, 1.739336
408, 1.528828
412, 1.525168
416, 1.562153
420, 1.835165
424, 1.611230
428, 1.705696
432, 1.705191
436, 1.741804
440, 1.733218
444, 1.796284
448, 1.814829
452, 1.883643
456, 1.864481
460, 1.894401
464, 1.928829
468, 1.960756
472, 1.993777
476, 2.029733
480, 2.103955
484, 2.098468
488, 2.131259
492, 2.165658
496, 2.203188
500, 2.286620
504, 2.272387
508, 2.385523
512, 2.346118
516, 2.384571
520, 2.440554
524, 2.502292
528, 2.500344
532, 2.576157
536, 2.610381
540, 2.646535
544, 2.674094
548, 2.730940
552, 2.764886
556, 2.902647
560, 2.841135
564, 2.850655
568, 2.889004
572, 2.937603
576, 2.966410
580, 3.056501
584, 3.146066
588, 3.158492
592, 3.172578
596, 3.217292
600, 3.352513
604, 3.312467
608, 3.811884
612, 3.392158
616, 3.462515
620, 3.482185
624, 3.509350
628, 3.652072
632, 3.642485
636, 3.730392
640, 4.144549
644, 3.708131
648, 3.822220
652, 3.866581
656, 3.938425
660, 4.015040
664, 4.016525
668, 4.076436
672, 4.149254
676, 4.130033
680, 4.204452
684, 4.222865
688, 4.772546
692, 4.384193
696, 4.354367
700, 4.445263
704, 4.584619
708, 4.488585
712, 4.560683
716, 4.752230
720, 4.635911
724, 4.762455
728, 4.769642
732, 4.914965
736, 5.723201
740, 4.976441
744, 5.049229
748, 5.010977
752, 5.053273
756, 5.105936
760, 5.157936
764, 5.213917
768, 5.279985
772, 5.427402
776, 5.379525
780, 5.433760
784, 6.044050
788, 5.550246
792, 5.852472
796, 5.709903
800, 5.964261
804, 5.800910
808, 5.832098
812, 5.919347
816, 6.228581
820, 6.062038
824, 6.070403
828, 6.130016
832, 6.186866
836, 7.376063
840, 6.301706
844, 6.673230
848, 6.518149
852, 6.813019
856, 6.546625
860, 7.035679
864, 6.673644
868, 6.791214
872, 6.845790
876, 6.940469
880, 7.085082
884, 7.020857
888, 7.255316
892, 7.171237
896, 8.052347
900, 7.232747
904, 7.714312
908, 7.531551
912, 7.785764
916, 7.717159
920, 7.926754
924, 8.182756
928, 8.236982
932, 7.808903
936, 8.131620
940, 7.949595
944, 8.983200
948, 8.129528
952, 8.483282
956, 8.417415
960, 8.710142
964, 8.713433
968, 8.731791
972, 10.306270
976, 8.831976
980, 8.579514
984, 8.692433
988, 8.713124
992, 9.267495
996, 9.072606
